,sentence,label,data,regex
140,"Contributors AJ, MB, JD, RM, AS, MC, TT and DAW contributed to preparation and writing of the manuscript. AJ, MB, JD, AD, CM, PK, JB and JR contributed to data collection. CM, TT, JD, MG and DC were involved in sample testing. Data interpretation, verification and depiction was performed by JD, MB, CM, MC and DAW. Decision to submit the manuscript was made by MC and DAW.",1.0,,True
141,Data sharing statement All authors confirm that they had full access to all the data in the study and accept responsibility to submit for publication. De-identified data is available from the time of publication and available for five years following article publication. Requests should be directed to the corresponding author.,0.0,,False
142,Declaration of interests All authors declare no competing interests.,0.0,,False
143,Acknowledgements We acknowledge the support all diagnostic laboratories involved in this project. We acknowledge the work done by COVID Quarantine Victoria and Alfred Health and thank the staff and patients who contributed to this study.,1.0,Quarantine,True
144,Supplementary materials Supplementary material associated with this article can be found in the online version at doi:10.1016/j. lanwpc.2022.100533.,0.0,,False
145,"References 1 Tognotti E. Lessons from the history of quarantine, from plague to",1.0,quarantine,True
146,"influenza A. Emerg Infect Dis. 2013;19(2):254-259. 2 Ritchie H, Mathieu E, Rodes-Guirao L, et al. Coronavirus pandemic",1.0,flu,True
147,"(COVID-19). Published online at Our World In Data. Retrieved from: https://ourworldindataorg/coronavirus. 2020. Accessed 12 January 2022. 3 Seemann T, Lane CR, Sherry NL, et al. Tracking the COVID-19 pandemic in Australia using genomics. Nat Commun. 2020;11 (1):4376. 4 Lane CR, Sherry NL, Porter AF, et al. Genomics-informed responses in the elimination of COVID-19 in Victoria, Australia: an observational, genomic epidemiological study. Lancet Public Health. 2021;6(8):e547-e556. 5 Giles ML, Wallace EM, Alpren C, et al. Suppression of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) after",1.0,COVID-19,True
148,"a second wave in Victoria, Australia. Clin Infect Dis. 2021;73(3): e808-e810. 6 Victorian Government Response to the hotel quarantine inquiry. Available online at https://www.vic.gov.au/hotel-quar antine-inquiry-victorian-government-response. Accessed 25 January 2022. 7 European Centre for Disease Control and Prevention. Considerations for the Use of Saliva as Sample Material for COVID-19 Testing. Stockholm: ECDC; 2021. 3 May 2021. 8 Czumbel LM, Kiss S, Farkas N, et al. Saliva as a candidate for COVID-19 diagnostic testing: a meta-analysis. Front Med. 2020;7:465. 9 Williams E, Bond K, Zhang B, Putland M, Williamson DA. Saliva as a noninvasive specimen for detection of SARS-CoV-2. J Clin Microbiol. 2020;58(8):e00776-20. https://doi.org/10.1128/ JCM.00776-20. 10 Barat B, Das S, De Giorgi V, et al. Pooled saliva specimens for SARS-CoV-2 testing. J Clin Microbiol. 2021;59(3):e02486-20. https://doi.org/10.1128/JCM.02486-20. 11 Mendoza RP, Bi C, Cheng HT, et al. Implementation of a pooled surveillance testing program for asymptomatic SARSCoV-2 infections in K-12 schools and universities. EClinicalMedicine. 2021;38:101028. 12 Sahajpal NS, Mondal AK, Ananth S, et al. SalivaSTAT: directPCR and pooling of saliva samples collected in healthcare and community setting for SARS-CoV-2 mass surveillance. Diagnostics. 2021;11(5):904. https://doi.org/10.3390/diagnostics11050904. 13 Caly L, Druce J, Roberts J, et al. Isolation and rapid sharing of the 2019 novel coronavirus (SARS-CoV-2) from the first patient diagnosed with COVID-19 in Australia. Med J Aust. 2020;212(10):459- 462. https://doi.org/10.5694/mja2.50569. 14 Australian Government Department of Health. PHLN guidance on laboratory testing for SARS-CoV-2 (the virus that causes COVID19). Available online at https://www.health.gov.au/resources/publi cations/phln-guidance-on-laboratory-testing-for-sars-cov-2-thevirus-that-causes-covid-19. Accessed 20 May 2022. 15 Chong BSW, Tran T, Druce J, Ballard SA, Simpson JA, Catton M. Sample pooling is a viable strategy for SARS-CoV-2 detection in low-prevalence settings. Pathology. 2020;52 (7):796-800. 16 Tsang NNY, So HC, Ng KY, Cowling BJ, Leung GM, Ip DKM. Diagnostic performance of different sampling approaches for SARSCoV-2 RT-PCR testing: a systematic review and meta-analysis. Lancet Infect Dis. 2021;21(9):1233-1245. 17 Butler-Laporte G, Lawandi A, Schiller I, et al. Comparison of saliva and nasopharyngeal swab nucleic acid amplification testing for detection of SARS-CoV-2: a systematic review and meta-analysis. JAMA Intern Med. 2021;181(3):353-360. 18 Mina MJ, Parker R, Larremore DB. Rethinking Covid-19 test sensitivity - a strategy for containment. N Engl J Med. 2020;383(22): e120. https://doi.org/10.1056/NEJMp2025631. 19 Larremore DB, Wilder B, Lester E, et al. Test sensitivity is secondary to frequency and turnaround time for COVID-19 screening. Sci Adv. 2021;7(1):eabd5393. https://doi.org/10.1126/sciadv.abd5393. 20 Holmdahl I, Kahn R, Hay JA, Buckee CO, Mina MJ. Estimation of transmission of COVID-19 in simulated nursing homes with frequent testing and immunity-based staffing. JAMA Netw Open. 2021;4(5):e2110071. 21 Joachim A, Dewald F, Suarez I, et al. Pooled RT-qPCR testing for SARS-CoV-2 surveillance in schools - a cluster randomised trial. EClinicalMedicine. 2021;39:101082. 22 Victoria Department of Health and Human Services. Surveillance testing industry list 2021. Available online at https://www.dhhs. vic.gov.au/surveillance-testing-industry-list-covid-19. Accessed 20 May 2022. 23 Moynan D, Cagney M, Dhuthaigh AN, et al. The role of healthcare staff COVID-19 screening in infection prevention & control. J Infect. 2020;81(3):e53-e54. 24 Zhang K, Shoukat A, Crystal W, Langley JM, Galvani AP, Moghadas SM. Routine saliva testing for the identification of silent coronavirus disease 2019 (COVID-19) in healthcare workers. Infect Control Hosp Epidemiol. 2021;42(10):1189-1193.",1.0,quarantine,True
149,8,0.0,,False
150,"www.thelancet.com Vol 26 September, 2022",0.0,,False
151,,0.0,,False
